"","SiteID","TreeName","Species","Maturity","EstYear","StudyArea","Elev","Vline","bins"
"1754","WIL","WA6153","ABLA","SEE",1966,"JNP",-125,1960,1965
"1755","WIL","WA6154","ABLA","SEE",1966,"JNP",-125,1960,1965
"1756","WIL","WA6155","ABLA","SEE",1970,"JNP",-125,1960,1970
"1757","WIL","WA6156","ABLA","SEE",1968,"JNP",-125,1960,1965
"1758","WIL","WA6201","ABLA","SEE",1983,"JNP",-125,1960,1980
"1759","WIL","WA6202","ABLA","SEE",1967,"JNP",-125,1960,1965
"1760","WIL","WA6203","ABLA","SEE",1970,"JNP",-125,1960,1970
"1761","WIL","WA6204","ABLA","SEE",1967,"JNP",-125,1960,1965
"1762","WIL","WA6205","ABLA","SEE",1983,"JNP",-125,1960,1980
"1763","WIL","WA6206","ABLA","SEE",1973,"JNP",-125,1960,1970
"1764","WIL","WA6207","ABLA","SEE",1973,"JNP",-125,1960,1970
"1765","WIL","WA6208","ABLA","SEE",1967,"JNP",-125,1960,1965
"1766","WIL","WA6209","ABLA","SEE",1972,"JNP",-125,1960,1970
"1767","WIL","WA6210","ABLA","SEE",1972,"JNP",-125,1960,1970
"1768","WIL","WA6211","ABLA","SEE",1971,"JNP",-125,1960,1970
"1769","WIL","WA6212","ABLA","SEE",1970,"JNP",-125,1960,1970
"1770","WIL","WA6213","ABLA","SEE",1975,"JNP",-125,1960,1975
"1771","WIL","WA6214","ABLA","SEE",1974,"JNP",-125,1960,1970
"1772","WIL","WA6215","ABLA","SEE",1979,"JNP",-125,1960,1975
"1773","WIL","WA6301","ABLA","SEE",1967,"JNP",-125,1960,1965
"1774","WIL","WA6302","PIEN","SEE",1965,"JNP",-125,1960,1965
"1775","WIL","WA6303","PIEN","SEE",1968,"JNP",-125,1960,1965
"1776","WIL","WA6304","PIEN","SEE",1968,"JNP",-125,1960,1965
"1777","WIL","WA6305","PIEN","SEE",1967,"JNP",-125,1960,1965
"1778","WIL","WA6306","PIEN","SEE",1967,"JNP",-125,1960,1965
"1779","WIL","WA6307","PIEN","SEE",1969,"JNP",-125,1960,1965
"1780","WIL","WA6308","PIEN","SEE",1964,"JNP",-125,1960,1960
