,SiteID,TreeName,Species,Maturity,EstYear,StudyArea,Elev.x,Elev.y
383,FTB,C2_383,LALY,SAP,1966,KC,-25,2276.6
384,FTB,C2_384,LALY,SAP,1975,KC,-25,2276.6
385,FTB,C2_385,LALY,SEE,1989,KC,-25,2276.6
386,FTB,C2_386,ABLA,SEE,1982,KC,-25,2276.6
387,FTB,C2_387,ABLA,SEE,1970,KC,-25,2276.6
388,FTB,C2_388,LALY,SAP,1977,KC,-25,2276.6
389,FTB,C2_389,LALY,SEE,1987,KC,-25,2276.6
390,FTB,C2_390,ABLA,SEE,1986,KC,-25,2276.6
391,FTB,C2_391,LALY,SEE,1988,KC,-25,2276.6
392,FTB,C2_392,PIEN,SEE,2000,KC,-25,2276.6
393,FTB,C3_224,LALY,SAP,1979,KC,-25,2276.6
394,FTB,C3_225,LALY,SAP,1979,KC,-25,2276.6
395,FTB,C3_226,ABLA,KRU,1937,KC,-25,2276.6
396,FTB,C3_227,LALY,SEE,1985,KC,-25,2276.6
397,FTB,C3_228,LALY,SEE,1989,KC,-25,2276.6
398,FTB,C3_229,ABLA,SEE,1974,KC,-25,2276.6
399,FTB,C3_230,ABLA,SEE,1977,KC,-25,2276.6
400,FTB,C3_231,LALY,SEE,1993,KC,-25,2276.6
401,FTB,C3_232,ABLA,SEE,1971,KC,-25,2276.6
402,FTB,C3_233,ABLA,KRU,1958,KC,-25,2276.6
403,FTB,C3_234,ABLA,KRU,1949,KC,-25,2276.6
404,FTB,C3_235,LALY,SAP,1976,KC,-25,2276.6
405,FTB,C3_283,ABLA,MAT,1966,KC,-25,2276.6
406,FTB,C3_284,PIEN,MAT,1970,KC,-25,2276.6
407,FTB,C3_285,LALY,MAT,1909,KC,-25,2276.6
408,FTB,C3_286,ABLA,SAP,1968,KC,-25,2276.6
409,FTB,C3_287,ABLA,SAP,1955,KC,-25,2276.6
410,FTB,C3_288,ABLA,SAP,1961,KC,-25,2276.6
411,FTB,C3_290,LALY,MAT,1938,KC,-25,2276.6
412,FTB,C3_291,LALY,MAT,1963,KC,-25,2276.6
413,FTB,C3_292,LALY,MAT,1968,KC,-25,2276.6
414,FTB,C3_293,LALY,MAT,1878,KC,-25,2276.6
415,FTB,D1_216,LALY,SAP,1974,KC,-5,2282
416,FTB,D1_217,LALY,SAP,1978,KC,-5,2282
